tif_name_comptroller_file_name,tif_name_clerk,tif_name_comptroller_report,tif_name_ctu,tif_num_ctu,len_x,Unnamed: 0,tif_num_chi,unallocated_funds_2026,unallocated_funds_2025,unallocated_funds_2024,len_y
47th_King_Drive_1,47TH ST/KING DR,47th/King Drive,47th King,T-118,5,13.0,T-118,2349533.0,7130110.0,46937106.0,5.0
47th_State_1,47TH ST/STATE ST,47th/State,47th State,T-136,5,14.0,T-136,4528446.0,8686402.0,16564015.0,5.0
51st_Archer_1,51ST ST/ARCHER AVE,51st/Archer,51st Archer,T-097,5,,,,,,
51st_Lake_Park_1,51ST/LAKE PARK,51st/Lake Park,51st Lake Park,T-175,5,15.0,T-175,1506081.0,1584325.0,1636004.0,5.0
53rd_Street_1,53RD ST,53rd Street,53rd Street,T-105,5,16.0,T-105,0.0,175325.0,18257867.0,5.0
63rd_Ashland_1,63RD ST/ASHLAND AVE,63rd/Ashland,63rd Ashland,T-143,5,17.0,T-143,1197251.0,1025727.0,10232.0,5.0
63rd_Pulaski_1,63RD ST/PULASKI AVE,63rd/Pulaski,63rd Pulaski,T-098,5,18.0,T-098,5177670.0,1887699.0,4814187.0,4.0
67th_Cicero_1,67TH ST/CICERO AVE,67th/Cicero,67th Cicero,T-124,5,19.0,T-124,1628357.0,1538540.0,1270585.0,5.0
67th_Wentworth_1,67TH ST/WENTWORTH AV,67th/Wentworth,67th Wentworth,T-174,5,20.0,T-174,296385.0,296331.0,3723.0,5.0
71st_and_y_Island_1,71ST ST/STONY ISLAND,71st/Stony Island,71st Stony Island,T-060,5,21.0,T-060,4962762.0,485335.0,13570732.0,4.0
73rd_University_1,73RD ST/UNIVERSITY A,73rd/University,73rd University,T-145,5,22.0,T-145,590232.0,1282074.0,959962.0,5.0
79th_St._Corridor_1,79TH ST CORRIDOR,79th Street Corridor,79th Street Corridor,T-056,5,23.0,T-056,3697218.0,1988865.0,729852.0,4.0
79th_and_Cicero_1,79TH ST/CICERO AVE,79th/Cicero,79th Cicero,T-140,5,25.0,T-140,229808.0,285604.0,327472.0,5.0
79th_StreHighway__1,79TH ST/SW HWY,79th/Southwest Highway,79th Southwest Hwy,T-112,5,24.0,T-112,0.0,241803.0,10548761.0,5.0
79th_Vincennes_1,79TH ST/VINCENNES AV,79th/Vincennes,79th Vincennes,T-155,5,26.0,T-155,1500155.0,727304.0,404269.0,5.0
83rd_Stewart_1,83RD ST/STEWART AVE,83rd/Stewart,83rd Stewart,T-133,5,27.0,T-133,1153046.0,711162.0,11599.0,5.0
87th_Cottge_Grove_1,87TH ST/COTTAGE GROV,87th/Cottage Grove,87th Cottage Grove,T-127,5,28.0,T-127,6679203.0,4187089.0,7867105.0,5.0
95th_and_Western_1,95TH ST/WESTERN AVE,95th/Western,95th Western,T-009,5,29.0,T-009,2338438.0,589046.0,1095067.0,3.0
Addison_South_1,ADDISON SOUTH,Addison South,Addison South,T-150,5,30.0,T-150,6793.0,2030008.0,8641960.0,5.0
Archer_Central__1,ARCHER/CENTRAL,Archer/Central,Archer Central,T-099,5,,,,,,
Archer_Western_1,ARCHER/WESTERN,Archer/Western,Archer Western,T-163,5,31.0,T-163,5413352.0,192444.0,12549334.0,5.0
Armitage_Pulaski_1,ARMITAGE/PULASKI,Armitage/Pulaski,Armitage Pulaski,T-151,5,32.0,T-151,1454894.0,706519.0,87911.0,5.0
Austin_Commercial_1,AUSTIN COMMERCIAL,Austin Commercial,Austin Commercial,T-156,5,33.0,T-156,3873382.0,560279.0,1253886.0,5.0
Avalon_Path_Shore_1,AVALON PK/SOUTH SHOR,Avalon Park/South Shore,Avalon Park South Shore,T-123,5,34.0,T-123,1623121.0,5381908.0,1414026.0,5.0
Avondale_1,AVONDALE,Avondale,Avondale,T-167,5,35.0,T-167,1333739.0,1143216.0,252439.0,5.0
Belmont_Central__1,BELMONT/CENTRAL,Belmont/Central,Belmont Central,T-081,5,36.0,T-081,6629047.0,8987229.0,19710117.0,4.0
Belmont_Cicero__1,BELMONT/CICERO,Belmont/Cicero,Belmont Cicero,T-082,5,,,,,,
Bronzeville_1,BRONZEVILLE,Bronzeville,Bronzeville,T-061,5,37.0,T-061,12328164.0,2310208.0,13267195.0,4.0
Bryn_MawrBroadway_1,BRYN MAWR/BROADWAY,Bryn Mawr/Broadway,Bryn Mawr Broadway,T-013,5,38.0,T-013,1948450.0,9029697.0,5622950.0,4.0
Foster_California_1,CALIFORNIA/FOSTER,Foster/California,Foster California,T-177,5,56.0,T-177,596440.0,600362.0,904176.0,5.0
Canal_Congress_1,CANAL ST/CONGRESS AV,Canal/Congress,Canal Congress,T-063,5,39.0,T-063,6300370.0,69952034.0,54110003.0,4.0
Central_West_1,CENTRAL WEST,Central West,Central West,T-086,5,40.0,T-086,40559451.0,2388834.0,45600631.0,4.0
Chicago_Cral_Park_1,CHICAGO/CENTRAL PARK,Chicago/Central Park,Chicago Central Park,T-115,5,41.0,T-115,1392927.0,3397005.0,44420431.0,5.0
Chicago_Kingsbury_1,CHICAGO/KINGSBURY,Chicago/Kingsbury,Chicago Kingsbury,T-094,5,,,,,,
Cicero_Archer__1,CICERO AVE/ARCHER AV,Cicero/Archer,Cicero Archer,T-096,5,,,,,,
Cicero_Stevenson_1,CICERO/STEVENSON,Cicero/Stevenson,Cicero Stevenson,T-185,5,42.0,T-185,1945285.0,1949207.0,7780126.0,5.0
Clark_Montrose_1,CLARK/MONTROSE,Clark/Montrose,Clark Montrose,T-070,5,43.0,T-070,1644122.0,2439580.0,6792157.0,4.0
Commercial_Avenue_1,COMMERCIAL AVE,Commercial Avenue,Commercial Avenue,T-128,5,44.0,T-128,3336488.0,2366385.0,8261045.0,5.0
Cortland_go_River_1,CORTLAND/CHICAGO RIV,Cortland/Chicago River,Cortland Chicago River,T-183,5,45.0,T-183,31698236.0,23385640.0,47669828.0,5.0
Devon_Sheridan_1,DEVON/SHERIDAN,Devon/Sheridan,Devon Sheridan,T-134,5,46.0,T-134,10159756.0,7443846.0,5922554.0,5.0
Diversey_go_River_1,DIVERSEY/CHICAGO RIV,Diversey/Chicago River,Diversey Chicago River,T-179,5,47.0,T-179,8050363.0,10793766.0,1370368.0,5.0
Diversey_agansett_1,DIVERSEY/NARRAGANSET,Diversey/Narragansett,Diversey Narragansett,T-129,5,48.0,T-129,561921.0,661768.0,1690191.0,5.0
Division_Homan_1,DIVISION/HOMAN,Division/Homan,Division Homan,T-107,5,49.0,T-107,1747783.0,342719.0,3618598.0,5.0
Edgewater_Ashland_1,EDGEWATER/ASHLAND,Edgewater/Ashland,Edgewater Ashland,T-130,5,50.0,T-130,2867106.0,1589125.0,4718091.0,5.0
Elston_ArCorridor_1,ELSTON/ARMSTRONG,Elston/Armstrong Industrial Corridor,Elston Armstrong,T-153,5,51.0,T-153,6448543.0,3955003.0,6343562.0,5.0
Englewood_Mall_1,ENGLEWOOD MALL,Englewood Mall,Englewood Mall,T-021,5,52.0,T-021,0.0,364718.0,7113674.0,4.0
Englewoodborhood__1,ENGLEWOOD NEIGHBORHO,Englewood Neighborhood,Englewood Neighborhood,T-106,5,53.0,T-106,5297426.0,9027480.0,19077109.0,5.0
Ewing_Avenue_1,EWING AVE,Ewing Avenue,Ewing Avenue,T-169,5,54.0,T-169,909018.0,360313.0,67559.0,5.0
Foster_Edens_1,FOSTER/EDENS,Foster/Edens,Foster Edens,T-181,5,55.0,T-181,5462644.0,3930680.0,3468659.0,5.0
Fullertonlwaukee__1,FULLERTON/MILWAUKEE,Fullerton/Milwaukee,Fullerton Milwaukee,T-087,5,57.0,T-087,2354311.0,15894879.0,19058581.0,4.0
Galewood_dustrial_1,GALEWOOD/ARMITAGE,Galewood/Armitage Industrial,Galewood Armitage,T-071,5,58.0,T-071,8738924.0,2040426.0,10242743.0,4.0
Goose_Island_1,GOOSE ISLAND,Goose Island,Goose Island,T-023,5,59.0,T-023,21982055.0,27387309.0,27748333.0,4.0
Greater_S__West___1,GREATER SW WEST,Greater Southwest Industrial (West),Greater SW Ind Corr West,T-092,5,,,,,,
Harrison_Central_1,HARRISON/CENTRAL,Harrison/Central,Harrison Central,T-144,5,61.0,T-144,1973703.0,1895581.0,2198466.0,5.0
HollywoodSheridan_1,HOLLYWOOD/SHERIDAN,Hollywood/Sheridan,Hollywood Sheridan,T-157,5,62.0,T-157,10490486.0,8997481.0,10400733.0,5.0
Homan-Arthington_1,HOMAN AVE/ARTHINGTON,Homan/Arthington,Homan Arthington,T-024,5,63.0,T-024,3014720.0,5300012.0,4694457.0,4.0
Humbolt_Pmercial__1,HUMBOLDT PARK COMMER,Humboldt Park Commercial,Humboldt Park,T-108,5,64.0,T-108,0.0,574005.0,19167604.0,5.0
Jeffersonosevelt__1,JEFFERSON/ROOSEVELT,Jefferson/Roosevelt,Jefferson Roosevelt,T-101,5,,,,,,
Kennedy_Kimball_1,KENNEDY EXPY/KIMBALL,Kennedy/Kimball,Kennedy Kimball,T-160,5,65.0,T-160,1361260.0,1935471.0,5091017.0,5.0
Kinzie_InCorridor_1,KINZIE CONSERVATION,Kinzie Industrial Corridor,Kinzie Ind Corr,T-052,5,66.0,T-052,11510698.0,3647166.0,74924422.0,4.0
Lake_Caludustrial_1,LAKE CALUMET,Lake Calumet Area Industrial,Lake Calumet,T-103,5,68.0,T-103,2469602.0,10028377.0,14182431.0,5.0
Lakefront_1,LAKEFRONT,Lakefront,Lakefront,T-119,5,69.0,T-119,1275080.0,1329176.0,1655470.0,5.0
LaSalle_Central_1,LASALLE CENTRAL,LaSalle Central,LaSalle Central,T-147,5,67.0,T-147,25612328.0,29142588.0,14091091.0,5.0
Lawrence_roadway__1,LAWRENCE/BROADWAY,Lawrence/Broadway,Lawrence Broadway,T-109,5,70.0,T-109,11342350.0,8421257.0,38309655.0,5.0
